tic;x;y;z;angle;momx;momy;shield;health;ammo;sector_x;sector_y
173;1061;-3605;0;6438;-1;-2;0;100;50;4;-14
266;1052;-3623;0;6438;-2;-3;0;100;46;4;-14
301;1041;-3646;0;7141;-1;-1;0;100;46;4;-14
363;931;-3551;0;18040;-8;1;0;100;46;3;-14
400;720;-3527;0;18040;1;0;0;101;46;2;-14
435;927;-3526;0;17161;3;0;0;101;46;3;-14
470;837;-3404;0;11711;-5;6;0;101;46;3;-13
505;641;-3200;-8;18391;-8;3;0;101;46;2;-12
540;535;-3205;-8;24192;-4;-5;0;101;46;2;-12
575;421;-3439;-8;25774;-2;-6;1;101;46;1;-13
610;418;-3394;-8;17512;0;0;1;101;46;1;-13
645;361;-3305;-8;8899;-3;6;1;101;46;1;-13
680;336;-3065;-8;11887;-1;5;1;101;46;1;-12
715;268;-3039;-8;19446;-7;-2;1;101;46;1;-12
750;92;-3082;-8;23840;-1;0;1;102;46;0;-12
796;187;-3183;-8;34563;6;-4;1;103;46;0;-12
831;384;-3195;-8;34563;6;-1;1;103;46;1;-12
866;450;-3227;-8;26125;0;-2;1;103;46;1;-12
901;448;-3244;-8;15579;-3;1;1;103;46;1;-12
936;221;-3214;56;18215;-9;-1;1;103;46;0;-12
971;-67;-3228;104;19094;-7;-1;3;103;46;0;-12
1041;-53;-3264;104;17864;6;-1;100;103;46;0;-13
1076;-92;-3302;104;16458;-6;0;100;103;46;0;-13
1181;6;-3223;104;35407;8;-1;100;103;46;0;-12
1216;304;-3261;24;35758;9;-2;100;103;46;1;-13
1251;620;-3239;-8;1516;8;2;100;103;46;2;-12
1286;845;-3083;0;5911;4;6;100;103;46;3;-12
1321;1026;-2913;0;1868;0;0;101;103;46;4;-11
1356;1063;-2934;0;33825;5;-3;101;103;46;4;-11
1391;1211;-2961;0;6086;3;4;101;103;46;4;-11
1426;1294;-2723;0;8372;1;8;101;103;46;5;-10
1461;1414;-2490;0;637;7;2;101;103;46;5;-9
1496;1494;-2474;0;33825;-5;1;101;103;46;5;-9
1531;1576;-2510;0;35407;7;-2;101;103;46;6;-10
1566;1854;-2516;0;637;8;0;100;101;46;7;-10
1601;2040;-2497;0;110;0;0;100;101;44;8;-9
1636;2026;-2490;0;34176;-1;0;93;87;43;8;-9
1687;2016;-2487;0;34176;-3;0;91;83;41;8;-9
1722;2082;-2468;0;33825;7;-1;91;83;46;8;-9
1767;2278;-2544;24;2043;-4;-1;93;83;51;9;-10
1802;2174;-2527;16;7141;0;4;93;83;51;8;-10
1837;2251;-2321;24;4329;2;0;94;83;51;9;-9
1875;2203;-2321;24;35758;-7;0;95;83;51;8;-9
1910;2019;-2321;0;28903;-2;0;95;83;51;8;-9
1945;1963;-2490;0;22750;-5;-7;95;83;51;7;-9
1980;1779;-2696;0;17125;-8;-3;95;83;51;7;-10
2033;1680;-2683;0;9391;-1;4;95;83;51;6;-10
2068;1675;-2449;0;9391;-1;0;95;83;51;6;-9
2103;1686;-2445;0;3942;3;1;95;83;51;6;-9
2138;1777;-2242;0;8512;0;7;95;83;51;7;-8
2173;1805;-2129;0;14313;0;0;95;83;51;7;-8
2208;1730;-2129;0;21520;-2;0;96;83;51;6;-8
2249;1716;-2129;0;35934;1;-1;96;83;51;6;-8
2284;1937;-2132;0;35407;8;-1;96;83;51;7;-8
2319;2225;-2154;0;1340;8;-1;96;83;51;8;-8
2354;2479;-2185;0;28024;0;-2;96;83;51;9;-8
2389;2352;-2399;0;23629;-1;-7;96;83;51;9;-9
2424;2263;-2733;0;14313;-11;2;96;83;51;9;-10
2459;1786;-2566;0;19586;-16;0;96;83;51;7;-10
2494;1646;-2449;0;17477;-3;0;96;83;51;6;-9
2529;1575;-2505;0;22399;2;2;96;83;51;6;-10
2564;1642;-2456;0;22399;-3;-3;96;83;51;6;-9
2599;1425;-2529;0;18532;-9;-1;96;83;51;5;-10
2634;1258;-2656;0;27321;0;-7;96;83;51;5;-10
2669;1256;-2924;0;22575;-3;-8;96;83;51;5;-11
2704;1046;-2991;0;14665;-7;3;96;83;51;4;-11
2739;822;-2976;0;23278;-6;-5;96;83;51;3;-11
2774;720;-3101;0;16950;0;-1;97;83;51;2;-12
2809;720;-3050;0;9040;-1;5;97;83;51;2;-12
2859;735;-2970;0;28165;0;-4;97;83;51;2;-11
2894;735;-3201;0;20606;-5;-7;97;83;51;2;-12
2929;567;-3282;-8;14805;-8;2;97;83;51;2;-13
2964;305;-3181;-8;19551;-8;0;97;83;51;1;-12
2999;349;-3151;-8;19551;4;0;97;83;51;1;-12
3038;468;-3140;-8;27110;0;-5;97;83;51;1;-12
3073;527;-3280;-8;34668;0;-2;97;83;51;2;-13
3108;527;-3280;-8;35899;0;-1;97;83;51;2;-13
3143;401;-3316;-8;4293;-3;-1;97;83;51;1;-13
3178;549;-3235;-8;34844;7;-1;97;83;51;2;-12
3213;773;-3365;0;29747;4;-7;97;83;51;3;-13
3248;948;-3594;0;33262;6;-6;97;83;51;3;-14
3283;1043;-3637;0;28868;1;-3;97;83;51;4;-14
3319;1068;-3655;0;27637;-1;0;97;83;51;4;-14
3354;1059;-3664;0;26231;-1;0;97;83;51;4;-14
